TI3;"Bird""""";"Ltuna""""";"PelaPred""""";"Stuna""""";"Jack""""";"PelaSha""""";"Dempred""""";"DemFish""""";"Spela""""";"Spar""""";"FlyFish""""";"Herb""""";"Zoopl""""";"Mamm""""";"BillFish""""";"ODemFish""""";"Crus""""";"MolluWorm""""";"HetBenth""""";"ReefFeed""""";"MorEel""""";"BathyDem""""";"DemSha""""";"Turtle""""";"Echino""""";"Ray""""";"BenthAuto""""";"MicroFau""""";"FlatFish""""";"Phyto""""";;SUM
"Bird""""";0,04;0,05;0,06;0,05;0,05;0,05;0,04;0,03;0,05;0,05;0,08;0,05;0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,02;0,01;;0,92
"Ltuna""""";0,07;0,04;0,07;0,07;0,06;0,06;0,02;0,04;0,07;0,05;0,09;0,02;0,05;0,07;0,09;0,05;0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;;1,25
"PelaPred""""";0,06;0,06;0,04;0,06;0,05;0,06;0,02;0,03;0,06;0,04;0,09;0,02;0,04;0,07;0,09;0,04;0,02;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;;1,03
"Stuna""""";0,06;0,06;0,06;0,04;0,05;0,06;0,02;0,02;0,06;0,02;0,09;0,02;0,04;0,06;0,09;0,02;0,03;0,03;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,02;;1,02
"Jack""""";0,06;0,05;0,06;0,06;0,03;0,05;0,04;0,02;0,06;0,05;0,04;0,02;0,04;0,06;0,04;0,02;0,03;0,03;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;1,04
"PelaSha""""";0,06;0,05;0,06;0,06;0,05;0,04;0,04;0,03;0,03;0,02;0,04;0,02;0,04;0,06;0,08;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,04;0,07;0,02;0,02;0,02;0,01;0,02;0,02;;1,02
"Dempred""""";0,05;0,03;0,03;0,03;0,05;0,05;0,04;0,05;0,03;0,06;0,02;0,07;0,04;0,06;0,02;0,05;0,05;0,05;0,05;0,06;0,07;0,07;0,06;0,04;0,05;0,03;0,07;0,03;0,03;0,03;;1,35
"DemFish""""";0,06;0,06;0,06;0,03;0,04;0,06;0,06;0,05;0,06;0,07;0,03;0,08;0,05;0,06;0,03;0,07;0,06;0,06;0,06;0,07;0,08;0,07;0,07;0,04;0,06;0,08;0,07;0,08;0,12;0,04;;1,82
"Spela""""";0,05;0,05;0,06;0,06;0,05;0,03;0,02;0,03;0,03;0,02;0,04;0,02;0,04;0,06;0,08;0,02;0,03;0,03;0,04;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,02;;0,91
"Spar""""";0,05;0,04;0,05;0,02;0,05;0,03;0,05;0,04;0,02;0,04;0,02;0,07;0,02;0,06;0,02;0,02;0,04;0,04;0,02;0,05;0,06;0,02;0,05;0,02;0,02;0,02;0,06;0,02;0,02;0,02;;1,05
