TI3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"OSPelaFish""""";"SupBenth""""";"BenthInv""""";"Mull""""";"DemFishOne""""";"BenthPelaFish""""";"Anch""""";"HorMack""""";"Mack""""";"Shri""""";"Crab""""";"NorLobs""""";"Ahake""""";"BlueWhit""""";"DemSha""""";"FinWhale""""";"FlatFish""""";"PoorCod""""";"Jhake""""";"DemFishThree""""";"Polych""""";"BenthCepha""""";"BenthPelaCepha""""";"AngFish""""";"AtlBoni""""";"SwordFishTuna""""";"CongEel""""";"DemFishTwo""""";"LogTurtle""""";"Dolph""""";"AudGull""""";;SUM;
"Phyto""""";0,05;0,05;0,04;0,14;0,05;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;0;0,01;0,01;0,01;0,01;0,02;0;0;0;0,01;0,01;0;0,01;0;0,02;0,01;0;0;0;0,01;0,04;;0,63;
"MicroMesoZoopl""""";0,13;0,05;0,05;0,17;0,07;0,06;0,05;0,04;0,07;0,04;0,04;0,06;0,05;0,07;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,01;0,04;0,03;0,02;0,01;0,03;0,02;0,05;;1,44;
"MacroZoopl""""";0,1;0,05;0,05;0,04;0,03;0,03;0,03;0,03;0,02;0,04;0,05;0,02;0,05;0,07;0,04;0,04;0,08;0,05;0,05;0,07;0,14;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,01;0,02;0,02;0,02;;1,37;
"Jelly""""";0,09;0,04;0,01;0,04;0,01;0,01;0,01;0;0,01;0,02;0;0,01;0,01;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;;0,35;
"Sard""""";0,1;0,05;0,02;0,04;0,07;0,03;0,01;0,01;0,02;0,03;0,01;0,03;0,02;0,07;0,02;0,01;0,01;0,04;0,01;0,01;0,02;0,01;0,01;0,01;0,04;0,01;0,01;0,04;0,01;0,1;0,08;0,01;0,01;0,01;0,02;0,4;;1,43;
"OSPelaFish""""";0,1;0,05;0,02;0,04;0,03;0,05;0,01;0,01;0,01;0,03;0,02;0,03;0,02;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,14;0,01;0,01;0,01;0,03;0,04;0,02;0,05;0,01;0,09;0,08;0,01;0,01;0,01;0,08;0,03;;1,17;
"SupBenth""""";0,02;0,05;0,03;0,02;0,02;0,02;0,04;0,03;0,08;0,04;0,05;0,02;0,04;0,06;0,05;0,05;0,08;0,03;0,02;0,02;0,01;0,07;0,06;0,06;0,04;0,03;0,03;0,02;0,03;0,02;0,02;0,02;0,03;0,02;0,01;0,01;;1,22;
"BenthInv""""";0,02;0,05;0,03;0,02;0,02;0,02;0,03;0,06;0,03;0,04;0,03;0,03;0,05;0,07;0,05;0,05;0,09;0,03;0,06;0,07;0,02;0,07;0,04;0,07;0,05;0,03;0,06;0,05;0,03;0,02;0,02;0,02;0,15;0,39;0,03;0,01;;1,91;
"Mull""""";0,01;0,04;0,01;0,01;0,01;0,01;0,04;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,03;0,03;0,02;0,04;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,61;
"DemFishOne""""";0,06;0,07;0,06;0,15;0,07;0,06;0,06;0,05;0,04;0,05;0,06;0,07;0,06;0,04;0,04;0,06;0,03;0,06;0,04;0,03;0,03;0,08;0,07;0,07;0,06;0,06;0,06;0,03;0,08;0,03;0,03;0,1;0,04;0,03;0,03;0,04;;2,01;
