TI3;"Phyto""""";"Shri""""";"Clup""""";"Zoopl""""";"Benth""""";"Ocrus""""";"Grass""""";"Spar""""";"Cichl""""";"Gerre""""";"Lutja""""";"Ofish""""";"Poeci""""";"Tetraod""""";;SUM
"Phyto""""";0,08;0,15;0,14;0,1;0,1;0,11;0,06;0,07;0,05;0,07;0,09;0,06;0,07;0,05;;1,21
"Shri""""";0,12;0,16;0,03;0,09;0,04;0,03;0,02;0,03;0,01;0,26;0,49;0,04;0,05;0,03;;1,4
"Clup""""";0,11;0,03;0,08;0,09;0,05;0,06;0,12;0,12;0,06;0,03;0,03;0,04;0,06;0,03;;0,9
"Zoopl""""";0,17;0,18;0,18;0,14;0,14;0,14;0,08;0,16;0,07;0,09;0,1;0,27;0,45;0,09;;2,24
"Benth""""";0,15;0,08;0,09;0,14;0,14;0,15;0,15;0,16;0,09;0,26;0,07;0,27;0,09;0,45;;2,3
"Ocrus""""";0,13;0,04;0,09;0,1;0,11;0,11;0,17;0,15;0,27;0,05;0,03;0,07;0,06;0,07;;1,44
"Grass""""";0,06;0,02;0,15;0,05;0,1;0,14;0,11;0,14;0,26;0,03;0;0,04;0,03;0,06;;1,19
"Spar""""";0,07;0,03;0,15;0,1;0,1;0,12;0,14;0,08;0,09;0,04;0,01;0,06;0,06;0,06;;1,12
"Cichl""""";0,02;0;0,03;0,02;0,02;0,09;0,1;0,04;0,07;0,01;0;0,01;0,01;0,02;;0,44
"Gerre""""";0,03;0,13;0,01;0,02;0,07;0,02;0,01;0,01;0,01;0,06;0,08;0,03;0,02;0,04;;0,54
"Lutja""""";0,02;0,12;0,01;0,01;0,01;0;0;0;0;0,04;0,08;0,01;0,01;0;;0,32
"Ofish""""";0,03;0,02;0,02;0,07;0,07;0,02;0,02;0,03;0,01;0,03;0,01;0,05;0,05;0,05;;0,46
"Poeci""""";0,01;0,01;0,01;0,06;0,01;0,01;0,01;0,01;0;0,01;0,01;0,02;0,04;0,01;;0,23
"Tetraod""""";0,01;0,01;0,01;0,01;0,06;0,01;0,01;0,01;0,01;0,02;0;0,02;0,01;0,04;;0,23
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
TO3;"Phyto""""";"Shri""""";"Clup""""";"Zoopl""""";"Benth""""";"Ocrus""""";"Grass""""";"Spar""""";"Cichl""""";"Gerre""""";"Lutja""""";"Ofish""""";"Poeci""""";"Tetraod""""";;SUM
"Benth""""";0,07;0,07;0,11;0,21;0;0,21;0,11;0,07;0,04;0;0;0;0;0;;0,89
"Cichl""""";0;0;0,04;0;0,04;0,04;0,04;0,04;0;0;0;0;0;0;;0,18
"Clup""""";0;0,04;0;0,07;0,11;0,11;0,07;0,04;0,04;0;0;0;0;0;;0,46
"Gerre""""";0,04;0,04;0;0,04;0;0;0;0;0;0;0,04;0;0;0;;0,14
"Grass""""";0,07;0;0,07;0,11;0,11;0,14;0;0,11;0,04;0;0;0;0;0;;0,64
"Lutja""""";0,04;0,04;0;0,04;0;0;0;0;0;0,04;0;0;0;0;;0,14
"Ocrus""""";0,07;0,04;0,11;0,18;0,21;0;0,14;0,07;0,04;0;0;0;0;0;;0,86
"Ofish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0,04;0;0,14;0,07;0,07;0,07;0,07;0;0,04;0,04;0;0;0;;0,54
"Poeci""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Shri""""";0,04;0;0,04;0,07;0,07;0,04;0;0;0;0,04;0,04;0;0;0;;0,32
"Spar""""";0,07;0;0,04;0,07;0,07;0,07;0,11;0;0,04;0;0;0;0;0;;0,46
"Tetraod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0,14;0,07;0,07;0;0,21;0,18;0,11;0,07;0;0,04;0,04;0;0;0;;0,93
