TI3;"ShaRay""""";"MidwPisc""""";"Lplank""""";"LgReefCarn""""";"SmPlank""""";"SmReefCarn""""";"LgGroup""""";"SmReefHerb""""";"LgReefHerb""""";"Cepha""""";"Echino""""";"Crus""""";"WormMollu""""";"Sess""""";"Zoopl""""";"BenthProd""""";"Decomp""""";"Phyto""""";"Turtule""""";;SUM
"ShaRay""""";0,06;0,08;0,08;0,07;0,07;0,07;0,16;0,08;0,11;0,08;0,06;0,07;0,06;0,06;0,05;0,05;0,04;0,04;0,04;;1,35
"MidwPisc""""";0,07;0,05;0,08;0,06;0,07;0,07;0,04;0,08;0,1;0,08;0,03;0,06;0,06;0,04;0,06;0,04;0,03;0,03;0,03;;1,08
"Lplank""""";0,06;0,06;0,04;0,06;0,03;0,04;0,04;0,04;0,04;0,07;0,03;0,05;0,05;0,05;0,05;0,06;0,03;0,03;0,03;;0,85
"LgReefCarn""""";0,08;0,08;0,09;0,06;0,08;0,08;0,16;0,09;0,05;0,09;0,07;0,07;0,07;0,07;0,07;0,08;0,05;0,05;0,05;;1,42
"SmPlank""""";0,06;0,06;0,04;0,06;0,05;0,07;0,04;0,03;0,03;0,07;0,04;0,05;0,04;0,06;0,06;0,03;0,09;0,09;0,03;;0,98
"SmReefCarn""""";0,06;0,07;0,04;0,06;0,07;0,04;0,04;0,04;0,04;0,08;0,06;0,05;0,06;0,06;0,06;0,07;0,04;0,04;0,04;;1,04
"LgGroup""""";0,04;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,28
"SmReefHerb""""";0,05;0,06;0,03;0,05;0,03;0,03;0,03;0,04;0,03;0,03;0,05;0,04;0,05;0,03;0,05;0,06;0,03;0,03;0,03;;0,75
"LgReefHerb""""";0,04;0,05;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,03;0,02;0,04;0,01;0,05;0,01;0,01;0,02;;0,48
"Cepha""""";0,06;0,07;0,07;0,06;0,07;0,06;0,04;0,03;0,03;0,04;0,03;0,05;0,05;0,03;0,06;0,03;0,03;0,03;0,02;;0,84
"Echino""""";0,06;0,04;0,04;0,06;0,04;0,07;0,04;0,08;0,04;0,04;0,05;0,06;0,07;0,07;0,07;0,08;0,1;0,1;0,11;;1,21
"Crus""""";0,09;0,09;0,1;0,09;0,09;0,09;0,17;0,1;0,13;0,09;0,09;0,07;0,09;0,09;0,09;0,1;0,11;0,11;0,12;;1,91
