TI3;"ProdPrim""""";"Zoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scall""""";"Lobs""""";"Sdemers""""";"Pil""""";"Cepha""""";"CarnZoopl""""";"Sgado""""";"Mull""""";"Sole""""";"Gurna""""";"Whit""""";"Cod""""";"RayDogFish""""";"Poll""""";"JohnDo""""";"Sande""""";"Herr""""";"Sprat""""";"Mack""""";"Scad""""";"BaskSha""""";"Bird""""";"Jbass""""";"Jplai""""";"Jwhit""""";"DepoFeed""""";"Whelk""""";"Plai""""";"Dab""""";"OFlatFish""""";"LBottFish""""";"Bream""""";"Bass""""";"Jcod""""";"Crab""""";"CommCrab""""";"Hake""""";"Seal""""";"ToothCet""""";"OvWint""""";"Sha""""";"Jsole""""";;SUM
"ProdPrim""""";0,04;0,03;0,05;0,03;0,05;0,04;0,21;0,07;0,02;0,05;0,03;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;;1,08
"Zoopl""""";0,07;0,07;0,05;0,05;0,02;0,02;0,06;0,02;0,04;0,09;0,03;0,22;0,05;0,08;0,11;0,09;0,04;0,05;0,04;0,06;0,13;0,07;0,06;0,08;0,12;0,06;0,39;0,08;0,12;0,09;0,06;0,04;0,02;0,02;0,03;0,02;0,03;0,02;0,03;0,03;0,03;0,02;0,04;0,02;0,03;0,02;0,01;0,01;;2,94
"SuspFeed""""";0,06;0,03;0,04;0,01;0,06;0,03;0,02;0,07;0,02;0,02;0,02;0,01;0,04;0,02;0,02;0,01;0,01;0,01;0,03;0,05;0,01;0,01;0,01;0,01;0,01;0,04;0,02;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,06;0,07;0,01;0,07;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;1,1
"ShriPrawn""""";0,06;0,04;0,02;0,05;0,02;0,03;0,06;0,03;0,04;0,02;0,02;0,02;0,02;0,03;0,1;0,09;0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,05;0,03;0,02;0,12;0,09;0,06;0,04;0,07;0,03;0,07;0,02;0,04;0,02;0,1;0,09;0,05;0,1;0,02;0,02;0,01;0,01;0,01;0,01;;1,95
"Echino""""";0,06;0,01;0,06;0,01;0,04;0,05;0,02;0,08;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,02;0,01;0,03;0,07;0,02;0,02;0,07;0,01;0,07;0,01;0,02;0,02;0,02;0,01;0,02;0,01;0,01;0;0,01;;1,07
"Bivalv""""";0,06;0,01;0,04;0,03;0,06;0,04;0,02;0,08;0,04;0,02;0,02;0,01;0,04;0,02;0,02;0,02;0,04;0,02;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,02;0,07;0,02;0,02;0,08;0,02;0,07;0,07;0,04;0,07;0,02;0,02;0,04;0,09;0,02;0,02;0,02;0,01;0,01;0,01;;1,47
"Scall""""";0,04;0;0;0,01;0;0;0,05;0,01;0;0;0;0;0;0;0,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,26
"Lobs""""";0,05;0,01;0,04;0,01;0,05;0,04;0,02;0,03;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0,01;0;0,01;0,01;0,01;0,01;0,02;0,07;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,02;0,01;0;0;0;0;0;0;;0,62
"Sdemers""""";0,06;0,04;0,04;0,05;0,06;0,06;0,03;0,03;0,05;0,02;0,05;0,02;0,06;0,03;0,03;0,09;0,05;0,04;0,04;0,06;0,11;0,03;0,05;0,03;0,02;0,05;0,03;0,02;0,03;0,09;0,06;0,05;0,03;0,09;0,07;0,04;0,05;0,08;0,1;0,09;0,05;0,03;0,03;0,07;0,03;0,03;0,02;0,03;;2,34
"Pil""""";0,04;0,03;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,02;0,08;0,04;0,02;0,06;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,05;0;0,05;0,02;0,01;0,01;;0,79
"Cepha""""";0,05;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,03;0,02;0,06;0,02;0,04;0,07;0,01;0,02;0,02;0,02;0,03;0,02;0,01;0,05;0,05;0,02;0,02;0,05;0,01;0,03;0,01;0,01;0,02;0,03;0,01;0,02;0,02;0,02;0,04;0,07;0,02;0,02;0,03;0,01;0,02;0,06;0,06;0,09;0,23;0,39;;2,01
"CarnZoopl""""";0;0,02;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;;0,2
"Sgado""""";0,02;0,03;0,04;0,02;0,02;0,04;0,01;0,02;0,03;0,01;0,03;0,01;0,03;0,02;0,01;0,02;0,03;0,04;0,03;0,05;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,04;0,02;0,01;0,02;0,03;0,02;0,05;0,02;0,02;0,02;0,02;0,02;;1,08
"Mull""""";0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;;0,59
"Sole""""";0,02;0,02;0,01;0,03;0,01;0,01;0,2;0,01;0,01;0,01;0;0,01;0;0,01;0,05;0,01;0;0,01;0,02;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0;0,01;0,01;0;0,01;0;0;0;0;0;0;;0,59
"Gurna""""";0,01;0,02;0,01;0,03;0,01;0,01;0,01;0,01;0,02;0;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0;0;;0,48
"Whit""""";0,02;0,04;0,02;0,04;0,05;0,05;0,01;0,02;0,04;0,02;0,02;0,03;0,05;0,02;0,02;0,03;0,04;0,03;0,04;0,03;0,03;0,05;0,05;0,06;0,03;0,02;0,02;0,03;0,02;0,03;0,06;0,04;0,03;0,03;0,07;0,03;0,05;0,03;0,03;0,08;0,04;0,1;0,06;0,06;0,05;0,03;0,01;0,01;;1,77
"Cod""""";0,01;0,04;0,02;0,04;0,04;0,02;0,01;0,02;0,03;0,02;0,02;0,03;0,05;0,02;0,02;0,02;0,03;0,04;0,02;0,06;0,02;0,05;0,05;0,05;0,03;0,02;0,02;0,02;0,02;0,08;0,05;0,03;0,02;0,08;0,02;0,02;0,04;0,02;0,03;0,08;0,03;0,02;0,02;0,06;0,05;0,02;0,01;0,01;;1,54
"RayDogFish""""";0,04;0,05;0,06;0,05;0,06;0,06;0,05;0,04;0,04;0,07;0,05;0,03;0,06;0,08;0,1;0,03;0,05;0,03;0,05;0,06;0,03;0,06;0,06;0,06;0,04;0,06;0,03;0,04;0,03;0,03;0,06;0,05;0,08;0,08;0,08;0,08;0,04;0,04;0,03;0,03;0,05;0,1;0,04;0,04;0,04;0,07;0,04;0,03;;2,46
"Poll""""";0,01;0,02;0,04;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,04;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,02;0,02;0,03;0,02;0,01;0,02;0,01;0,01;0,01;0,05;0,05;0,02;0,01;0,01;;0,83
"JohnDo""""";0;0,02;0;0;0;0;0;0;0,02;0,01;0;0,01;0,01;0;0;0,01;0,01;0,01;0;0;0,03;0;0,01;0,04;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0,01;0,01;0;0;;0,36
"Sande""""";0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,2;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,02;0,01;0,04;0,04;0,02;0,02;0,01;0,02;0,06;0,01;0,01;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,08;0,01;0,01;0,01;0,01;0,05;0,02;0,02;0,02;0,02;;1,15
"Herr""""";0,01;0,03;0,01;0,01;0,01;0,01;0;0,01;0,03;0,03;0,04;0,03;0,02;0,02;0,01;0,02;0,03;0,04;0,03;0,02;0,02;0,05;0,03;0,03;0,09;0,02;0,02;0,06;0,02;0,01;0,05;0,02;0,01;0,02;0,01;0,01;0,03;0,01;0,02;0,02;0,03;0,02;0,02;0,02;0,05;0,02;0,02;0,03;;1,17
"Sprat""""";0,01;0,03;0,01;0,01;0,01;0,01;0;0,01;0,01;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,01;0,11;0,02;0,02;0,04;0,09;0,01;0,02;0,06;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,06;0,01;0,05;0,02;0,01;0;;0,97
"Mack""""";0,01;0,02;0;0;0;0;0,01;0;0;0,05;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,03;0,04;0,03;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0;0;0;0;0;0;0;0;0;0;0,01;0;0,01;0,01;0;0;;0,46
"Scad""""";0,02;0,03;0,04;0,03;0,02;0,03;0,01;0,02;0,03;0,06;0,04;0,01;0,02;0,07;0,02;0,02;0,02;0,01;0,03;0,02;0,02;0,01;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,03;0,02;0,05;0,01;0,05;0,02;0,02;0,03;;1,15
