"TI3";""MarMam"";""Acod"";""Jcod"";""Hadd"";""Saithe"";""RedFish"";""OFlatFish"";""OdemFish"";""Cape"";""Opel"";""NorthShri"";""Benth"";""Nekt"";""Zoopl"";""Bird"";""Herr"";""GreenHal"";""Phyto"";""Mollu"";""Neph"";;SUM
""MarMam"";"0,05";"0,06";"0,07";"0,08";"0,07";"0,07";"0,07";"0,07";"0,07";"0,07";"0,07";"0,06";"0,06";"0,06";"0,04";"0,04";"0,04";"0,04";"0,04";"0,03";;"1,16"
""Acod"";"0,07";"0,05";"0,07";"0,08";"0,08";"0,07";"0,08";"0,08";"0,07";"0,08";"0,08";"0,07";"0,07";"0,06";"0,05";"0,09";"0,08";"0,05";"0,05";"0,04";;"1,37"
""Jcod"";"0,06";"0,06";"0,04";"0,04";"0,06";"0,06";"0,07";"0,07";"0,04";"0,04";"0,07";"0,06";"0,06";"0,05";"0,03";"0,04";"0,07";"0,07";"0,04";"0,04";;"1,08"
""Hadd"";"0,06";"0,05";"0,03";"0,04";"0,06";"0,06";"0,07";"0,03";"0,06";"0,03";"0,06";"0,05";"0,05";"0,05";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";;"0,87"
""Saithe"";"0,06";"0,06";"0,06";"0,07";"0,05";"0,06";"0,07";"0,04";"0,06";"0,07";"0,04";"0,05";"0,06";"0,05";"0,04";"0,09";"0,04";"0,04";"0,03";"0,03";;"1,09"
""RedFish"";"0,07";"0,07";"0,07";"0,08";"0,07";"0,05";"0,08";"0,08";"0,07";"0,08";"0,08";"0,06";"0,06";"0,06";"0,04";"0,04";"0,08";"0,04";"0,04";"0,03";;"1,25"
""OFlatFish"";"0,06";"0,06";"0,06";"0,07";"0,06";"0,06";"0,04";"0,04";"0,06";"0,03";"0,06";"0,05";"0,05";"0,05";"0,03";"0,03";"0,04";"0,03";"0,03";"0,03";;"0,96"
""OdemFish"";"0,06";"0,05";"0,06";"0,03";"0,03";"0,05";"0,03";"0,04";"0,05";"0,03";"0,06";"0,05";"0,05";"0,05";"0,03";"0,03";"0,03";"0,03";"0,12";"0,03";;"0,92"
""Cape"";"0,06";"0,06";"0,04";"0,07";"0,06";"0,06";"0,07";"0,07";"0,04";"0,04";"0,04";"0,04";"0,06";"0,06";"0,09";"0,04";"0,07";"0,07";"0,04";"0,04";;"1,11"
""Opel"";"0,05";"0,05";"0,03";"0,03";"0,05";"0,05";"0,03";"0,03";"0,03";"0,04";"0,03";"0,03";"0,05";"0,05";"0,08";"0,04";"0,06";"0,07";"0,02";"0,03";;"0,84"
