TI3;"Cormo""""";"Forage""""";"Jmull""""";"Bass""""";"ZooBenth""""";"Eal""""";"Bream""""";"Zoopl""""";"Mull""""";"Phyto""""";"Pleust""""";;SUM
"Cormo""""";0,06;0,09;0,08;0,04;0,03;0,04;0,01;0,03;0,01;0,02;0,02;;0,44
"Forage""""";0,27;0,13;0,16;0,21;0,12;0,21;0,08;0,17;0,05;0,09;0,07;;1,56
"Jmull""""";0,29;0,18;0,13;0,22;0,14;0,22;0,09;0,18;0,11;0,1;0,2;;1,85
"Bass""""";0,07;0,1;0,09;0,06;0,08;0,06;0,05;0,05;0,04;0,04;0,04;;0,68
"ZooBenth""""";0,11;0,18;0,18;0,23;0,18;0,23;0,47;0,23;0,32;0,31;0,27;;2,71
"Eal""""";0,07;0,1;0,09;0,06;0,08;0,06;0,05;0,05;0,04;0,04;0,04;;0,68
"Bream""""";0,01;0,01;0,01;0,02;0,05;0,02;0,04;0,02;0,02;0,02;0,02;;0,24
"Zoopl""""";0,07;0,11;0,1;0,07;0,1;0,07;0,07;0,1;0,05;0,24;0,05;;1,01
"Mull""""";0,01;0,02;0,03;0,03;0,07;0,03;0,05;0,02;0,09;0,03;0,16;;0,53
"Phyto""""";0,02;0,03;0,03;0,03;0,07;0,03;0,05;0,12;0,03;0,07;0,03;;0,49
"Pleust""""";0,03;0,04;0,08;0,04;0,09;0,04;0,06;0,04;0,24;0,04;0,1;;0,81
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TO3;"Cormo""""";"Forage""""";"Jmull""""";"Bass""""";"ZooBenth""""";"Eal""""";"Bream""""";"Zoopl""""";"Mull""""";"Phyto""""";"Pleust""""";;SUM
"Cormo""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Forage""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Jmull""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Bass""""";0;0;0;0;0;0;0;0;0;0;0;;0
"ZooBenth""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Eal""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Bream""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Mull""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Pleust""""";0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;
;;;;;;;;;;;;;
WI3;"Cormo""""";"Forage""""";"Jmull""""";"Bass""""";"ZooBenth""""";"Eal""""";"Bream""""";"Zoopl""""";"Mull""""";"Phyto""""";"Pleust""""";;SUM
"Cormo""""";5580894,02;44189322789;13131965334;2051004996;1,95911E+11;3699581330;31233969250;1,73718E+11;16932493533;3,81759E+12;2,31631E+11;;4,53009E+12
"Forage""""";1,32568E+11;1,1585E+13;6,53802E+12;9,68158E+11;6,10224E+14;1,44532E+12;1,06749E+13;9,28784E+15;9,616E+12;8,56186E+14;7,95834E+13;;1,08748E+16
"Jmull""""";45961878668;7,62769E+12;3,10537E+12;7,97926E+11;7,52921E+13;1,30976E+12;1,07225E+13;9,67975E+14;4,49143E+12;3,28683E+14;8,09102E+13;;1,48096E+15
"Bass""""";3076507494;4,84079E+11;3,41968E+11;12611432777;6,87762E+12;15461040656;96299327641;3,51521E+13;5,02878E+11;5,78453E+13;7,34829E+11;;1,02066E+14
"ZooBenth""""";8,816E+11;9,15336E+14;9,68041E+13;2,06328E+13;7,86592E+15;3,5042E+13;2,87822E+14;6,88075E+16;5,87485E+13;1,03181E+17;2,14909E+15;;1,83419E+17
"Eal""""";5549371995;7,22658E+11;5,61325E+11;15461040656;1,16807E+13;14694643776;62100529684;6,30578E+13;8,31721E+11;9,1684E+13;4,98012E+11;;1,69134E+14
"Bream""""";15616984625;1,77914E+12;1,53178E+12;32099775880;3,19802E+13;20700176561;25497505,33;1,7674E+14;2,28843E+12;2,35672E+14;1,05758E+11;;4,50166E+14
"Zoopl""""";3,47436E+11;6,19189E+15;5,53129E+14;4,68695E+13;3,05811E+16;8,40771E+13;7,06961E+14;7,86165E+15;1,94178E+14;7,77014E+17;5,24314E+15;;8,28477E+17
"Mull""""";16932493533;3,20533E+12;1,28327E+12;3,35252E+11;1,30552E+13;5,54481E+11;4,57685E+12;9,7089E+13;1,85446E+12;1,33598E+14;3,45797E+13;;2,90149E+14
"Phyto""""";3,81759E+12;2,85395E+14;9,39095E+13;3,85635E+13;2,29292E+16;6,11227E+13;4,71344E+14;3,88507E+17;1,33598E+14;7,84983E+15;3,50023E+15;;4,23874E+17
"Pleust""""";3,47446E+11;3,97917E+13;3,46758E+13;7,34829E+11;7,16363E+14;4,98012E+11;3,17274E+11;3,93236E+15;5,18696E+13;5,25034E+15;4,69986E+12;;1,0032E+16
;;;;;;;;;;;;;
;;;;;;;;;;;;;
WO3;"Cormo""""";"Forage""""";"Jmull""""";"Bass""""";"ZooBenth""""";"Eal""""";"Bream""""";"Zoopl""""";"Mull""""";"Phyto""""";"Pleust""""";;SUM
"Bass""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Bream""""";0;0,09;0,09;0;0,09;0;0;0,09;0;0,09;0,09;;0,55
"Cormo""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Eal""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Forage""""";0;0;0,09;0;0,14;0;0,09;0,14;0;0,14;0,14;;0,73
"Jmull""""";0;0,09;0;0;0,09;0;0,09;0,09;0;0,09;0,09;;0,55
"Mull""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0,14;0,09;0;0,27;0;0,09;0,27;0;0;0,14;;1
"Pleust""""";0;0,14;0,09;0;0,14;0;0,09;0,14;0;0,14;0;;0,73
"ZooBenth""""";0;0,14;0,09;0;0;0;0,09;0,27;0;0,27;0,14;;1
"Zoopl""""";0;0,14;0,09;0;0,27;0;0,09;0;0;0,27;0,14;;1
