TI3;"Cet""""";"Cape""""";"PiscSPela""""";"Shri""""";"Lzoopl""""";"Dolph""""";"Lcod""""";"Scod""""";"RedFish""""";"Ldem""""";"Sdem""""";"Lpela""""";"PlankSPela""""";"HarpSeal""""";"LGreenHal""""";"SGreenHal""""";"Plai""""";"Flou""""";"SCrus""""";"OBenthInv""""";"HoodSeal""""";"GreySeal""""";"Skate""""";"Bird""""";"Lcrus""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"Cet""""";0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0,01;0,01;;0,26
"Cape""""";0,12;0,04;0,05;0,05;0,05;0,07;0,05;0,06;0,06;0,05;0,05;0,06;0,03;0,05;0,07;0,06;0,05;0,05;0,02;0,03;0,07;0,06;0,05;0,06;0,02;0,03;0,03;0,03;0,06;0,02;;1,49
"PiscSPela""""";0,12;0,05;0,04;0,05;0,05;0,07;0,05;0,03;0,06;0,05;0,04;0,06;0,05;0,05;0,07;0,03;0,03;0,03;0,03;0,05;0,06;0,05;0,05;0,06;0,03;0,02;0,06;0,03;0,05;0,03;;1,44
"Shri""""";0,12;0,06;0,06;0,04;0,06;0,07;0,05;0,06;0,06;0,05;0,05;0,06;0,05;0,06;0,07;0,06;0,05;0,06;0,03;0,06;0,07;0,06;0,06;0,07;0,02;0,03;0,03;0,03;0,06;0,03;;1,63
"Lzoopl""""";0,12;0,05;0,05;0,05;0,04;0,03;0,05;0,05;0,05;0,05;0,04;0,05;0,05;0,05;0,06;0,06;0,05;0,05;0,07;0,03;0,03;0,03;0,03;0,06;0,02;0,03;0,03;0,03;0,06;0,1;;1,48
"Dolph""""";0,02;0,03;0,03;0,03;0,02;0,02;0,03;0,04;0,04;0,03;0,03;0,04;0,03;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;;0,65
"Lcod""""";0,03;0,04;0,04;0,04;0,04;0,06;0,04;0,05;0,05;0,03;0,04;0,03;0,04;0,05;0,03;0,03;0,05;0,05;0,04;0,03;0,06;0,05;0,03;0,03;0,07;0,08;0,06;0,06;0,03;0,03;;1,29
"Scod""""";0,02;0,04;0,03;0,04;0,04;0,06;0,04;0,03;0,05;0,03;0,04;0,03;0,04;0,04;0,03;0,05;0,04;0,02;0,02;0,02;0,06;0,05;0,04;0,03;0,02;0,02;0,02;0,05;0,05;0,03;;1,09
"RedFish""""";0,03;0,04;0,04;0,04;0,04;0,06;0,04;0,05;0,03;0,04;0,04;0,02;0,04;0,04;0,06;0,03;0,02;0,02;0,02;0,02;0,06;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,05;0,02;;1,01
"Ldem""""";0,03;0,04;0,05;0,04;0,04;0,06;0,03;0,03;0,05;0,04;0,04;0,03;0,04;0,05;0,03;0,06;0,05;0,03;0,03;0,05;0,06;0,05;0,05;0,03;0,03;0,07;0,06;0,05;0,06;0,03;;1,34
"Sdem""""";0,04;0,06;0,06;0,06;0,05;0,07;0,06;0,06;0,06;0,06;0,04;0,07;0,06;0,06;0,07;0,06;0,06;0,06;0,05;0,07;0,07;0,07;0,06;0,07;0,08;0,09;0,07;0,07;0,06;0,04;;1,86
