TI3;"TranOrc""""";"SealLion""""";"Dolph""""";"LingCod""""";"Ahake""""";"ARCoho""""";"ARChin""""";"DemFish""""";"Spela""""";"Eula""""";"Aherr""""";"PredInv""""";"GrazInv""""";"Jhake""""";"JRCoho""""";"JRChin""""";"ShellFish""""";"Hal""""";"CarnZoopl""""";"DogFish""""";"Jherr""""";"HerbZoopl""""";"Bird""""";"Jelly""""";"Phyto""""";"Grass""""";;SUM
"TranOrc""""";0,02;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,1
"SealLion""""";0,38;0,06;0,03;0,05;0,06;0,06;0,06;0,05;0,05;0,05;0,05;0,03;0,06;0,06;0,06;0,06;0,06;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,04;;1,5
"Dolph""""";0,01;0,02;0,03;0,05;0,05;0,05;0,05;0,04;0,05;0,04;0,04;0,06;0,05;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;;0,83
"LingCod""""";0,04;0,06;0,07;0,04;0,06;0,06;0,04;0,05;0,06;0,05;0,05;0,07;0,03;0,07;0,07;0,04;0,03;0,04;0,05;0,06;0,05;0,05;0,03;0,03;0,03;0,02;;1,24
"Ahake""""";0,04;0,05;0,06;0,05;0,04;0,03;0,03;0,05;0,05;0,05;0,05;0,03;0,05;0,06;0,03;0,03;0,03;0,03;0,05;0,05;0,05;0,05;0,03;0,03;0,03;0,02;;1,07
"ARCoho""""";0,04;0,05;0,06;0,05;0,03;0,04;0,03;0,04;0,05;0,05;0,05;0,03;0,03;0,03;0,06;0,06;0,02;0,03;0,05;0,06;0,05;0,05;0,03;0,03;0,02;0,01;;1,06
"ARChin""""";0,04;0,05;0,06;0,03;0,03;0,03;0,04;0,04;0,05;0,05;0,05;0,03;0,02;0,06;0,05;0,06;0,02;0,03;0,05;0,03;0,05;0,05;0,03;0,03;0,02;0,01;;0,98
"DemFish""""";0,04;0,06;0,08;0,06;0,07;0,06;0,07;0,05;0,07;0,07;0,06;0,08;0,07;0,07;0,04;0,04;0,07;0,12;0,06;0,07;0,04;0,06;0,08;0,09;0,05;0,05;;1,7
"Spela""""";0,04;0,06;0,07;0,06;0,06;0,06;0,06;0,05;0,04;0,04;0,06;0,03;0,06;0,07;0,03;0,03;0,03;0,12;0,05;0,03;0,05;0,05;0,07;0,03;0,03;0,03;;1,29
"Eula""""";0,03;0,05;0,06;0,05;0,06;0,06;0,06;0,05;0,04;0,04;0,05;0,03;0,03;0,04;0,03;0,03;0,03;0,03;0,05;0,06;0,06;0,06;0,07;0,1;0,08;0,02;;1,27
"Aherr""""";0,04;0,06;0,07;0,06;0,07;0,07;0,07;0,06;0,07;0,06;0,05;0,04;0,04;0,07;0,07;0,07;0,03;0,12;0,06;0,07;0,06;0,06;0,07;0,04;0,03;0,02;;1,53
"PredInv""""";0,01;0,02;0,05;0,04;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,04;0,05;0,01;0,05;0,05;0,05;0,01;0,02;0,05;0,02;0,02;0,02;0,01;0,02;0,04;;0,71
"GrazInv""""";0,04;0,05;0,06;0,02;0,05;0,02;0,02;0,04;0,04;0,02;0,02;0,08;0,05;0,02;0,05;0,06;0,08;0,02;0,02;0,03;0,03;0,03;0,07;0,02;0,07;0,22;;1,24
"Jhake""""";0,03;0,05;0,03;0,05;0,05;0,03;0,05;0,04;0,05;0,03;0,04;0,02;0,02;0,03;0,03;0,03;0,02;0,03;0,04;0,05;0,04;0,04;0,02;0,02;0,02;0,01;;0,88
"JRCoho""""";0,03;0,05;0,03;0,05;0,03;0,05;0,05;0,02;0,02;0,02;0,04;0,07;0,05;0,03;0,03;0,03;0,03;0,02;0,04;0,05;0,04;0,04;0,02;0,02;0,02;0,02;;0,92
"JRChin""""";0,03;0,05;0,02;0,02;0,02;0,05;0,05;0,02;0,02;0,02;0,04;0,06;0,05;0,02;0,03;0,03;0,03;0,02;0,04;0,05;0,04;0,04;0,02;0,02;0,02;0,02;;0,85
"ShellFish""""";0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,07;0,07;0,02;0,02;0,03;0,05;0,01;0,02;0,05;0,04;0,04;0,07;0,03;0,07;0,22;;1,05
"Hal""""";0;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0;;0,31
"CarnZoopl""""";0,02;0,04;0,04;0,06;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,03;0,03;0,07;0,07;0,07;0,03;0,12;0,05;0,07;0,06;0,06;0,04;0,1;0,08;0,01;;1,46
"DogFish""""";0,02;0,03;0,03;0,05;0,05;0,05;0,03;0,04;0,02;0,05;0,04;0,07;0,03;0,05;0,06;0,06;0,06;0,03;0,05;0,04;0,03;0,03;0,02;0,02;0,02;0,03;;1,01
"Jherr""""";0,02;0,03;0,03;0,05;0,06;0,06;0,06;0,04;0,06;0,06;0,05;0,03;0,03;0,06;0,06;0,06;0,06;0,03;0,06;0,04;0,05;0,06;0,07;0,1;0,09;0,03;;1,37
