"TI3";""Rast"";""Scomber"";""Caran"";""Lpisc"";""Cepha"";""Tuna"";""Mamm"";""Zoopl"";""Jpela"";""Phyto"";""Spela"";""Sha"";""Shri"";""TraFish"";""Sdem"";""Lutja"";""PonyFish"";""Benth"";""Pomf"";""Nemi"";""FalTrev"";""SergShri"";""Jcaranx"";""Scian"";""Saur"";""Plecto"";""Silla"";""DemPisc"";""DemBenth"";""Jsaur"";""Jnemi"";""Ari"";""Pria"";""ShellFish"";""Ray"";""Cucu"";""CrabLobs"";""Jelly"";;SUM
""Rast"";"0,04";"0,06";"0,04";"0,03";"0,04";"0,03";"0,06";"0,04";"0,08";"0,07";"0,03";"0,01";"0,01";"0,02";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,02";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,01";"0,01";"0,02";"0,00";"0,00";"0,01";"0,02";;"0,89"
""Scomber"";"0,06";"0,03";"0,05";"0,02";"0,03";"0,02";"0,03";"0,03";"0,02";"0,02";"0,06";"0,04";"0,03";"0,04";"0,04";"0,02";"0,01";"0,01";"0,02";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";;"0,82"
""Caran"";"0,07";"0,07";"0,04";"0,04";"0,03";"0,04";"0,07";"0,04";"0,02";"0,03";"0,07";"0,05";"0,04";"0,05";"0,05";"0,05";"0,06";"0,04";"0,03";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,02";"0,02";"0,01";"0,02";"0,03";;"1,29"
""Lpisc"";"0,06";"0,03";"0,05";"0,04";"0,05";"0,06";"0,03";"0,03";"0,04";"0,03";"0,07";"0,06";"0,03";"0,05";"0,05";"0,03";"0,03";"0,03";"0,07";"0,07";"0,08";"0,03";"0,03";"0,05";"0,07";"0,08";"0,08";"0,05";"0,06";"0,03";"0,03";"0,03";"0,02";"0,03";"0,01";"0,00";"0,03";"0,01";;"1,64"
""Cepha"";"0,07";"0,07";"0,03";"0,05";"0,05";"0,05";"0,07";"0,05";"0,10";"0,03";"0,03";"0,02";"0,04";"0,05";"0,03";"0,05";"0,07";"0,03";"0,02";"0,03";"0,04";"0,07";"0,10";"0,05";"0,07";"0,02";"0,03";"0,05";"0,03";"0,12";"0,12";"0,03";"0,03";"0,02";"0,01";"0,01";"0,02";"0,04";;"1,78"
""Tuna"";"0,07";"0,03";"0,05";"0,06";"0,06";"0,06";"0,03";"0,04";"0,10";"0,03";"0,07";"0,06";"0,03";"0,03";"0,05";"0,03";"0,03";"0,03";"0,07";"0,07";"0,09";"0,03";"0,11";"0,04";"0,03";"0,09";"0,09";"0,05";"0,06";"0,12";"0,12";"0,02";"0,02";"0,03";"0,01";"0,00";"0,15";"0,02";;"2,08"
""Mamm"";"0,06";"0,03";"0,04";"0,02";"0,03";"0,01";"0,03";"0,03";"0,02";"0,03";"0,05";"0,01";"0,01";"0,04";"0,04";"0,01";"0,01";"0,03";"0,02";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,00";"0,01";"0,02";;"0,73"
""Zoopl"";"0,09";"0,08";"0,06";"0,04";"0,07";"0,04";"0,09";"0,07";"0,11";"0,11";"0,09";"0,03";"0,05";"0,06";"0,06";"0,04";"0,07";"0,05";"0,07";"0,07";"0,10";"0,08";"0,12";"0,05";"0,03";"0,03";"0,02";"0,03";"0,03";"0,13";"0,13";"0,03";"0,08";"0,10";"0,02";"0,01";"0,02";"0,39";;"2,77"
""Jpela"";"0,05";"0,01";"0,01";"0,01";"0,03";"0,03";"0,01";"0,03";"0,03";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,07";"0,02";"0,03";"0,04";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,00";"0,01";"0,01";"0,00";"0,00";"0,01";"0,02";;"0,60"
""Phyto"";"0,05";"0,02";"0,01";"0,01";"0,01";"0,01";"0,02";"0,03";"0,01";"0,03";"0,05";"0,01";"0,01";"0,03";"0,01";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,08";"0,01";"0,00";"0,01";"0,02";;"0,62"
""Spela"";"0,03";"0,06";"0,04";"0,04";"0,02";"0,03";"0,06";"0,04";"0,02";"0,07";"0,04";"0,02";"0,01";"0,02";"0,02";"0,01";"0,01";"0,01";"0,05";"0,02";"0,07";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,00";"0,00";"0,01";"0,02";;"0,89"
""Sha"";"0,02";"0,06";"0,05";"0,05";"0,02";"0,04";"0,02";"0,02";"0,01";"0,02";"0,02";"0,04";"0,05";"0,05";"0,05";"0,05";"0,02";"0,04";"0,06";"0,03";"0,01";"0,02";"0,01";"0,02";"0,03";"0,09";"0,03";"0,05";"0,06";"0,01";"0,01";"0,07";"0,03";"0,04";"0,02";"0,01";"0,03";"0,01";;"1,29"
""Shri"";"0,02";"0,06";"0,05";"0,03";"0,04";"0,03";"0,03";"0,04";"0,02";"0,02";"0,02";"0,06";"0,05";"0,03";"0,06";"0,07";"0,03";"0,05";"0,06";"0,08";"0,02";"0,03";"0,02";"0,05";"0,03";"0,09";"0,09";"0,06";"0,06";"0,03";"0,03";"0,08";"0,08";"0,04";"0,17";"0,12";"0,03";"0,02";;"1,93"
""TraFish"";"0,03";"0,07";"0,05";"0,05";"0,05";"0,02";"0,07";"0,04";"0,02";"0,08";"0,03";"0,05";"0,03";"0,04";"0,03";"0,06";"0,04";"0,04";"0,06";"0,03";"0,02";"0,03";"0,02";"0,05";"0,07";"0,03";"0,03";"0,05";"0,06";"0,03";"0,03";"0,03";"0,08";"0,03";"0,02";"0,00";"0,03";"0,03";;"1,52"
""Sdem"";"0,03";"0,06";"0,05";"0,05";"0,03";"0,04";"0,07";"0,04";"0,02";"0,02";"0,03";"0,05";"0,05";"0,03";"0,04";"0,06";"0,03";"0,04";"0,06";"0,03";"0,02";"0,07";"0,02";"0,05";"0,06";"0,03";"0,03";"0,05";"0,03";"0,03";"0,03";"0,03";"0,03";"0,02";"0,02";"0,01";"0,02";"0,02";;"1,39"
""Lutja"";"0,01";"0,02";"0,04";"0,02";"0,04";"0,02";"0,02";"0,02";"0,01";"0,01";"0,01";"0,05";"0,05";"0,04";"0,04";"0,04";"0,02";"0,04";"0,02";"0,06";"0,01";"0,06";"0,01";"0,02";"0,02";"0,02";"0,08";"0,05";"0,02";"0,01";"0,01";"0,03";"0,07";"0,01";"0,02";"0,01";"0,02";"0,01";;"1,11"
""PonyFish"";"0,01";"0,01";"0,04";"0,02";"0,04";"0,01";"0,02";"0,03";"0,01";"0,01";"0,01";"0,01";"0,02";"0,02";"0,02";"0,02";"0,03";"0,03";"0,01";"0,01";"0,01";"0,02";"0,02";"0,05";"0,06";"0,01";"0,02";"0,04";"0,05";"0,02";"0,02";"0,02";"0,07";"0,01";"0,01";"0,00";"0,02";"0,02";;"0,85"
""Benth"";"0,03";"0,03";"0,06";"0,04";"0,03";"0,04";"0,07";"0,05";"0,02";"0,09";"0,03";"0,07";"0,07";"0,06";"0,06";"0,08";"0,08";"0,06";"0,07";"0,08";"0,02";"0,08";"0,02";"0,06";"0,09";"0,09";"0,10";"0,07";"0,08";"0,03";"0,03";"0,10";"0,09";"0,06";"0,18";"0,12";"0,15";"0,03";;"2,54"
